order_id,customer_id,promotion_id,order_date,order_status,shipping_address,billing_address,discount_amount,shipping_charge,order_total_amount
21,3,,2026-08-10,Delivered,"H.No. 28, Acharya Circle, Unnao-154303","H.No. 28, Acharya Circle, Unnao-154303",0.0,0.0,2270.49
22,3,,2026-08-16,Cancelled,"H.No. 28, Acharya Circle, Unnao-154303","H.No. 28, Acharya Circle, Unnao-154303",0.0,97.38,532.03
23,3,,2026-08-23,Delivered,"H.No. 28, Acharya Circle, Unnao-154303","H.No. 28, Acharya Circle, Unnao-154303",0.0,0.0,2639.66
24,4,49.0,2026-09-08,Delivered,"57, Seth Circle, Shahjahanpur-150983","57, Seth Circle, Shahjahanpur-150983",526.26,0.0,4452.54
25,5,99.0,2025-12-08,Delivered,"63, Chatterjee Zila, Raichur-670106","63, Chatterjee Zila, Raichur-670106",20.86,86.43,308.97
26,5,,2025-12-16,Delivered,"63, Chatterjee Zila, Raichur-670106","63, Chatterjee Zila, Raichur-670106",0.0,0.0,1477.04
27,5,74.0,2026-02-20,Delivered,"63, Chatterjee Zila, Raichur-670106","63, Chatterjee Zila, Raichur-670106",1622.7,0.0,3216.86
28,5,,2026-03-14,Delivered,"63, Chatterjee Zila, Raichur-670106","63, Chatterjee Zila, Raichur-670106",0.0,0.0,2939.85
29,5,,2026-03-16,Cancelled,"63, Chatterjee Zila, Raichur-670106","63, Chatterjee Zila, Raichur-670106",0.0,0.0,4795.66
30,5,,2026-03-17,Delivered,"63, Chatterjee Zila, Raichur-670106","63, Chatterjee Zila, Raichur-670106",0.0,55.8,778.5
31,5,,2026-03-21,Delivered,"63, Chatterjee Zila, Raichur-670106","63, Chatterjee Zila, Raichur-670106",0.0,0.0,4176.44
32,5,95.0,2026-04-29,Delivered,"63, Chatterjee Zila, Raichur-670106","63, Chatterjee Zila, Raichur-670106",239.71,0.0,871.61
33,5,59.0,2026-05-21,Delivered,"63, Chatterjee Zila, Raichur-670106","63, Chatterjee Zila, Raichur-670106",15.29,65.56,255.56
34,5,,2026-06-27,Delivered,"63, Chatterjee Zila, Raichur-670106","63, Chatterjee Zila, Raichur-670106",0.0,49.02,736.6
35,6,,2026-04-30,Delivered,"267, Kala Chowk, Allahabad 606474","267, Kala Chowk, Allahabad 606474",0.0,0.0,3881.01
36,6,79.0,2026-06-02,Delivered,"267, Kala Chowk, Allahabad 606474","267, Kala Chowk, Allahabad 606474",359.13,0.0,2384.43
37,6,,2026-07-27,Delivered,"267, Kala Chowk, Allahabad 606474","267, Kala Chowk, Allahabad 606474",0.0,48.68,1045.22
38,7,,2026-05-15,Delivered,"191, Raval Ganj, Jehanabad 990916","191, Raval Ganj, Jehanabad 990916",0.0,91.39,452.74
39,7,,2026-07-17,Delivered,"191, Raval Ganj, Jehanabad 990916","191, Raval Ganj, Jehanabad 990916",0.0,0.0,2174.44
40,8,,2024-11-01,Delivered,"42/51, Pingle Ganj, Sangli-Miraj & Kupwad 849808","42/51, Pingle Ganj, Sangli-Miraj & Kupwad 849808",0.0,0.0,3021.33
41,8,,2025-10-25,Delivered,"42/51, Pingle Ganj, Sangli-Miraj & Kupwad 849808","42/51, Pingle Ganj, Sangli-Miraj & Kupwad 849808",0.0,87.55,477.24
42,8,,2025-11-03,Delivered,"42/51, Pingle Ganj, Sangli-Miraj & Kupwad 849808","42/51, Pingle Ganj, Sangli-Miraj & Kupwad 849808",0.0,0.0,5603.05
43,8,,2025-12-09,Delivered,"42/51, Pingle Ganj, Sangli-Miraj & Kupwad 849808","42/51, Pingle Ganj, Sangli-Miraj & Kupwad 849808",0.0,84.65,864.03
44,8,,2026-07-29,Delivered,"42/51, Pingle Ganj, Sangli-Miraj & Kupwad 849808","42/51, Pingle Ganj, Sangli-Miraj & Kupwad 849808",0.0,81.29,849.47
45,9,,2024-10-07,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",0.0,0.0,1557.67
46,9,,2024-10-23,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",0.0,98.27,459.62
47,9,,12/19/2024,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",0.0,72.48,306.06
48,9,81.0,2025-01-09,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",255.6,0.0,1832.62
49,9,93.0,2025/01/24,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",2184.6,0.0,5684.98
50,9,,2025-01-27,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",0.0,0.0,6042.66
51,9,18.0,2025-03-04,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",664.92,0.0,903.66
52,9,,2025-05-09,Cancelled,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",0.0,0.0,8809.02
53,9,91.0,28 Jul 2025,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",64.07,68.38,438.96
54,9,,2025-08-24,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",0.0,93.41,326.99
55,9,,2025-08-29,Cancelled,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",0.0,0.0,1051.82
56,9,75.0,2025-11-08,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",325.13,70.15,638.24
57,9,,2025-11-14,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",0.0,0.0,4260.44
58,9,,2025-11-22,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",0.0,0.0,3817.64
59,9,,2025-12-11,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",0.0,0.0,2605.98
60,9,,2025-12-12,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",0.0,58.36,435.45
61,9,,2026-02-04,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",0.0,0.0,1477.93
62,9,,2026-02-06,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",0.0,0.0,6888.3
63,9,30.0,2026-03-15,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",206.58,95.13,859.32
64,9,30.0,2026-03-21,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",190.08,71.73,774.87
65,9,56.0,2026-05-10,DELIVERED,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",276.85,0.0,1088.97
66,9,,2026-08-11,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",0.0,0.0,1527.7
67,9,,2026-08-11,Delivered,,"64/005, Lala Street, Mango 801128",0.0,0.0,4805.17
68,9,33.0,2026-08-25,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",48.63,81.68,276.45
69,9,,2026-08-31,Delivered,"64/005, Lala Street, Mango 801128","64/005, Lala Street, Mango 801128",0.0,0.0,1489.84
70,10,24.0,2025-08-26,Delivered,"602, Sabharwal Path, Shimoga-160733","602, Sabharwal Path, Shimoga-160733",802.06,0.0,3871.96
71,10,24.0,2025/08/27,Cancelled,"602, Sabharwal Path, Shimoga-160733","602, Sabharwal Path, Shimoga-160733",443.99,0.0,2143.35
72,10,,2025-10-29,Delivered,"602, Sabharwal Path, Shimoga-160733","602, Sabharwal Path, Shimoga-160733",0.0,95.95,919.04
73,10,26.0,2025-11-08,Delivered,"602, Sabharwal Path, Shimoga-160733","602, Sabharwal Path, Shimoga-160733",544.14,0.0,1015.45
74,10,,2026-01-16,Delivered,"602, Sabharwal Path, Shimoga-160733","602, Sabharwal Path, Shimoga-160733",0.0,62.81,439.9
75,10,,2026-03-12,Delivered,"602, Sabharwal Path, Shimoga-160733","602, Sabharwal Path, Shimoga-160733",0.0,87.84,321.42
76,10,,2026-04-25,Delivered,"602, Sabharwal Path, Shimoga-160733","602, Sabharwal Path, Shimoga-160733",0.0,0.0,1115.56
77,10,,2026-05-25,Delivered,"602, Sabharwal Path, Shimoga-160733","602, Sabharwal Path, Shimoga-160733",0.0,0.0,8208.08
78,10,,2026-06-12,Delivered,"602, Sabharwal Path, Shimoga-160733","602, Sabharwal Path, Shimoga-160733",0.0,84.03,977.25
79,10,,2026-06-27,Delivered,"602, Sabharwal Path, Shimoga-160733","602, Sabharwal Path, Shimoga-160733",0.0,0.0,8916.41
80,10,20.0,2026-07-13,Delivered,"602, Sabharwal Path, Shimoga-160733","602, Sabharwal Path, Shimoga-160733",1226.81,0.0,3936.53
81,11,,2024-11-01,Delivered,"H.No. 29, Barad Road, Kavali 556981","H.No. 29, Barad Road, Kavali 556981",0.0,62.64,885.73
82,11,17.0,2024-11-10,delivered,"H.No. 29, Barad Road, Kavali 556981","H.No. 29, Barad Road, Kavali 556981",307.88,61.05,525.57
83,11,,2025-03-04,Delivered,"H.No. 29, Barad Road, Kavali 556981","H.No. 29, Barad Road, Kavali 556981",0.0,0.0,2134.85
84,11,,2025-08-26,Delivered,"H.No. 29, Barad Road, Kavali 556981","H.No. 29, Barad Road, Kavali 556981",0.0,0.0,2975.01
85,11,,2025-10-02,Delivered,"H.No. 29, Barad Road, Kavali 556981","H.No. 29, Barad Road, Kavali 556981",0.0,0.0,1287.64
86,11,,2025-10-30,Delivered,"H.No. 29, Barad Road, Kavali 556981","H.No. 29, Barad Road, Kavali 556981",0.0,0.0,2042.38
87,11,,2025-11-03,Cancelled,"H.No. 29, Barad Road, Kavali 556981","H.No. 29, Barad Road, Kavali 556981",0.0,0.0,2972.8
88,11,81.0,2026-01-19,DELIVERED,"H.No. 29, Barad Road, Kavali 556981","H.No. 29, Barad Road, Kavali 556981",666.81,0.0,4780.99
89,11,39.0,2026-02-07,Delivered,"H.No. 29, Barad Road, Kavali 556981","H.No. 29, Barad Road, Kavali 556981",63.7,67.53,247.23
90,11,30.0,2026-03-16,Delivered,"H.No. 29, Barad Road, Kavali 556981","H.No. 29, Barad Road, Kavali 556981",314.5,0.0,1163.43
91,11,10.0,2026-05-22,Delivered,"H.No. 29, Barad Road, Kavali 556981","H.No. 29, Barad Road, Kavali 556981",132.98,0.0,988.3
92,12,86.0,2025-09-23,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",173.69,65.04,502.71
93,12,,2025-09-27,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,2679.19
94,12,,2025-10-01,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,2679.19
95,12,25.0,2025-10-01,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",94.07,71.52,483.76
96,12,,2025-10-11,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,1287.64
97,12,,2025-10-19,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,10879.7
98,12,13.0,2025-10-25,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",897.81,0.0,1689.53
99,12,,2025-10-30,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,6278.9
100,12,,2025-10-31,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,9121.38
101,12,,2025-11-01,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,1477.04
102,12,,2025-11-02,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,1051.82
103,12,,2025-11-04,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,2575.28
104,12,,2025-11-10,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,2139.82
105,12,72.0,2025-12-01,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",36.23,91.81,319.67
106,12,,2025-12-08,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,3510.19
107,12,,2025-12-22,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,1132.81
108,12,,2025-12-31,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,1520.96
109,12,,2026-01-01,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,8451.96
110,12,,2026-03-10,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,3730.93
111,12,,2026-03-12,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,1167.0
112,12,,2026-03-21,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,78.69,670.59
113,12,80.0,2026-04-26,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",128.04,62.39,598.8
114,12,31.0,2026-05-01,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",4648.62,0.0,10132.36
115,12,61.0,2026-05-25,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",1120.2,0.0,3470.77
116,12,31.0,2026-06-21,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",1483.97,0.0,3234.52
117,12,,2026-06-27,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,1608.94
118,12,,2026-06-29,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,0.0,2915.71
119,12,28.0,2026-08-11,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",46.98,79.23,393.6
120,12,32.0,2026-08-18,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",417.73,0.0,1310.59
121,12,,2026-08-19,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",0.0,53.02,286.6
122,12,94.0,2026-08-28,Delivered,"H.No. 64, Datta Circle, Bidar 299468","H.No. 64, Datta Circle, Bidar 299468",308.52,0.0,2266.76
123,13,,2026-02-28,Delivered,"433, Bakshi Street, Sambalpur 917693","433, Bakshi Street, Sambalpur 917693",0.0,0.0,4086.66
124,13,,2026-08-14,Delivered,"433, Bakshi Street, Sambalpur 917693","433, Bakshi Street, Sambalpur 917693",0.0,0.0,3264.62
125,14,,2025-12-13,Delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",0.0,0.0,3416.77
126,14,11.0,2025-12-16,Delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",312.04,0.0,991.91
127,14,,2025-12-16,Delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",0.0,0.0,14261.75
128,14,,2025-12-17,Delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",0.0,0.0,2174.44
129,14,,2025-12-21,Delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",0.0,0.0,4839.56
130,14,27.0,2025-12-26,Delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",757.5,0.0,986.69
131,14,,2026-01-02,Delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",0.0,0.0,8998.55
132,14,28.0,2026-01-03,delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",1097.92,0.0,7347.62
133,14,,2026-01-08,Delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",0.0,0.0,2434.31
134,14,59.0,2026-01-11,Cancelled,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",27.99,79.14,426.9
135,14,85.0,2026-01-29,Delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",105.15,59.89,677.44
136,14,25.0,2026-02-17,Delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",202.94,0.0,889.3
137,14,,2026-03-09,Delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",0.0,0.0,4377.71
138,14,,2026-06-21,Delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",0.0,0.0,2681.25
139,14,,2026-06-27,Delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",0.0,0.0,1360.09
140,14,,2026-06-28,Delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",0.0,0.0,1985.38
141,14,,2026-08-06,Delivered,"88/957, Thaman, Motihari-277434","88/957, Thaman, Motihari-277434",0.0,91.56,467.31
142,15,,2026-02-17,DELIVERED,"65, Shukla Circle, Ghaziabad-669096","65, Shukla Circle, Ghaziabad-669096",0.0,96.7,659.17
143,15,74.0,2026-02-18,Delivered,"65, Shukla Circle, Ghaziabad-669096","65, Shukla Circle, Ghaziabad-669096",320.21,64.14,698.93
144,16,27.0,2025-06-06,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",1312.16,0.0,1709.17
145,16,14.0,2025-06-06,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",67.2,41.89,360.89
146,16,90.0,2025-06-06,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",398.77,0.0,2023.9
147,16,53.0,2025-06-06,Cancelled,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",1364.75,0.0,3377.26
148,16,25.0,2025-06-06,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",112.75,46.94,541.04
149,16,,2025-06-06,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",0.0,0.0,1840.87
150,16,78.0,2025-06-06,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",125.67,76.18,726.71
151,16,28.0,2025-06-06,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",428.23,0.0,2865.87
152,16,,2025-06-06,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",0.0,0.0,5521.12
153,16,,2025-06-06,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",0.0,0.0,2065.01
154,16,12.0,2025-06-06,delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",654.59,0.0,2597.2
155,16,,2025-06-06,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",0.0,0.0,1608.94
156,16,,2025-06-06,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",0.0,0.0,6042.66
157,16,,2025-06-06,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",0.0,0.0,1303.95
158,16,90.0,2025-06-07,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",183.62,0.0,931.94
159,16,17.0,2025-06-07,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",386.56,67.12,650.36
160,16,,2025-06-07,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",0.0,0.0,2761.13
161,16,,2025-06-07,Delivered,"980, Bala Marg, Haldia-720465","980, Bala Marg, Haldia-720465",0.0,0.0,3218.52
162,17,10.0,2025-09-29,Delivered,"23/27, Kamdar Zila, Bardhaman-299124","23/27, Kamdar Zila, Bardhaman-299124",459.26,0.0,3413.08
163,17,,2025-09-30,Delivered,"23/27, Kamdar Zila, Bardhaman-299124","23/27, Kamdar Zila, Bardhaman-299124",0.0,0.0,2419.78
164,17,86.0,2025-09-30,Delivered,"23/27, Kamdar Zila, Bardhaman-299124","23/27, Kamdar Zila, Bardhaman-299124",1128.09,0.0,2842.67
165,17,,2025-09-30,Delivered,"23/27, Kamdar Zila, Bardhaman-299124","23/27, Kamdar Zila, Bardhaman-299124",0.0,71.54,506.19
166,18,,2024-09-04,Delivered,"H.No. 850, Suri Marg, Bhiwani-726284","H.No. 850, Suri Marg, Bhiwani-726284",0.0,0.0,2972.8
167,18,,2024-09-18,Delivered,"H.No. 850, Suri Marg, Bhiwani-726284","H.No. 850, Suri Marg, Bhiwani-726284",0.0,0.0,2114.96
168,18,,2025-01-26,Delivered,"H.No. 850, Suri Marg, Bhiwani-726284","H.No. 850, Suri Marg, Bhiwani-726284",0.0,0.0,6927.78
169,18,,2026-03-18,Delivered,"H.No. 850, Suri Marg, Bhiwani-726284","H.No. 850, Suri Marg, Bhiwani-726284",0.0,0.0,1131.4
170,19,,2024-10-05,Delivered,"35, Oak Road, Kavali 808313","35, Oak Road, Kavali 808313",0.0,0.0,7450.38
171,19,,2024-10-06,Delivered,"35, Oak Road, Kavali 808313","35, Oak Road, Kavali 808313",0.0,0.0,2743.56
172,19,,2025-04-10,Delivered,"35, Oak Road, Kavali 808313","35, Oak Road, Kavali 808313",0.0,0.0,2559.77
173,19,31.0,2025-05-04,Delivered,"35, Oak Road, Kavali 808313","35, Oak Road, Kavali 808313",417.62,0.0,910.25
174,20,,2024-12-13,Delivered,"85/574, Krishnamurthy Road, Jamshedpur 518233","85/574, Krishnamurthy Road, Jamshedpur 518233",0.0,83.66,738.02
175,20,,2025-04-12,Delivered,"85/574, Krishnamurthy Road, Jamshedpur 518233","85/574, Krishnamurthy Road, Jamshedpur 518233",0.0,0.0,1303.95
176,21,,2026-04-10,Delivered,"71/094, Srinivas Chowk, Mau 047116","71/094, Srinivas Chowk, Mau 047116",0.0,0.0,1087.25
177,21,,2026-04-10,Delivered,"71/094, Srinivas Chowk, Mau 047116","71/094, Srinivas Chowk, Mau 047116",0.0,0.0,1865.94
178,21,,2026-04-11,Delivered,"71/094, Srinivas Chowk, Mau 047116","71/094, Srinivas Chowk, Mau 047116",0.0,0.0,1302.11
179,22,43.0,2024-03-04,Delivered,"H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281","H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281",172.46,0.0,1760.94
180,22,,2024-03-23,Delivered,"H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281","H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281",0.0,91.27,617.18
181,22,,2024/05/15,Delivered,"H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281","H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281",0.0,44.9,698.68
182,22,,2024-08-16,Delivered,"H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281","H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281",0.0,0.0,7468.2
183,22,,2024-08-24,Delivered,"H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281","H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281",0.0,0.0,9552.59
184,22,,10/11/2024,Cancelled,"H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281","H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281",0.0,68.25,603.38
185,22,,2024-12-01,Delivered,"H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281","H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281",0.0,69.32,536.48
186,22,18.0,2024-12-21,Delivered,"H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281","H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281",4864.35,0.0,6610.88
187,22,99.0,2025-03-13,Delivered,"H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281","H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281",57.37,91.08,703.09
188,22,,2025-04-04,Delivered,"H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281","H.No. 99, Chaudhary Nagar, Rajpur Sonarpur 123281",0.0,0.0,1488.07
